# Which particle size cuts each grade is actually supplied in.
#
# Put Y in a cut column if that grade is offered in it. Leave it blank if not.
# Open in Excel, fill it in, save as CSV, then regenerate:
#
#     node docs/powder-datasheets/build.mjs
#
# To see what is still outstanding:
#
#     node docs/powder-datasheets/build.mjs --matrix
#
# A grade with no marks at all falls back to a placeholder list of five cuts and
# reports as unconfirmed. That fallback is a signal, not an answer - do not leave
# a grade sitting on it once its real availability is known.
#
# The slug column is the key and must match data.mjs - do not edit it. A slug
# matching nothing in GRADES is SILENTLY IGNORED: the build keys rows by slug and
# never checks the other way, so a typo does not error, it just quietly stops
# applying. After editing, run --matrix and confirm the grade actually moved.
#
# The grade column is only there to read by. A cut column heading must match a
# cut in CUT_SPECS, or the build stops and tells you. To offer a cut that is not
# a column yet, add it to CUT_SPECS with its typical D10/D50/D90 and flow first.
#
# What is marked here is also what the website claims. The size fractions on
# /pages/products/powder/ and the family and grade powder pages were reconciled
# against this file - if you change a row, those pages need changing with it.
#
# Excel rewrites this header on save - it appends trailing commas to every line
# and splits the ones with commas in their own text. Harmless to the build, which
# skips # lines, but restore it before committing.
slug,grade,5-25,10-30,15-45,15-53,20-63,45-105,53-105,45-150,53-150
ss316l,"Stainless Steel 316L",Y,,Y,Y,,Y,Y,Y,Y
ss304l,"Stainless Steel 304L",Y,,Y,Y,,Y,Y,Y,Y
17-4ph,"17-4 PH Stainless Steel",Y,,Y,Y,,Y,Y,Y,Y
15-5ph,"15-5 PH Stainless Steel",Y,,Y,Y,,Y,Y,Y,Y
h13,"H13 Tool Steel",Y,,Y,Y,,Y,Y,Y,Y
maraging-ms1,"Maraging Steel MS1",Y,,Y,Y,,Y,Y,Y,Y
cx,"Stainless Steel CX",Y,,Y,Y,,Y,Y,Y,Y
inconel-625,"Inconel 625",Y,,Y,Y,,Y,Y,Y,Y
inconel-718,"Inconel 718",Y,,Y,Y,,Y,Y,Y,Y
hastelloy-x,"Nickel Alloy HX",Y,,Y,Y,,Y,Y,Y,Y
hastelloy-c22,"Nickel Alloy C-22",Y,,Y,Y,,Y,Y,Y,Y
ti6al4v,"Ti-6Al-4V",Y,,Y,Y,,Y,Y,Y,Y
cp-titanium-grade-2,"Commercially Pure Titanium Grade 2",Y,,Y,Y,,Y,Y,Y,Y
cocrmo,"Cobalt Chrome CoCrMo",,Y,Y,Y,,Y,Y,Y,Y
alsi10mg,"AlSi10Mg",,,Y,Y,Y,Y,Y,Y,Y
al6061,"Aluminium 6061",,,Y,Y,Y,Y,Y,Y,Y
al7075,"Aluminium 7075",,,Y,Y,Y,Y,Y,Y,Y
