# Product specifications by grade and form. One row per grade; the columns are
# the product forms. docs/build-specs.mjs writes these into the grade x spec
# table on every family hub (/inconel-wire-.../, /hollow-bars/..., etc.) and on
# every grade hub (/inconel/625/).
#
# Why a file rather than editing hubs by hand: the same standard appears on a
# product page, a form hub and a grade hub. Three copies with nothing keeping
# them in step is how /inconel/625/wire/ ended up citing B443, a plate spec.
# One row here is the single source of truth for one grade.
#
# THE RULE THIS TABLE ENFORCES: a specification is written for a product form.
# B443 covers plate, sheet and strip; B446 covers rod, bar and wire; B444 covers
# pipe and tube. They are not interchangeable, and a hub must never print a
# flat-product spec in the wire column.
#
# Sources are the mill technical bulletins - Special Metals for INCONEL,
# INCOLOY, MONEL and NIMONIC; Haynes International for HAYNES. Where a mill
# publishes no standard for a grade, the cell reads "mill" and the hub prints
# "mill specification". Where a grade is not made in that form, the cell is "-"
# and the hub prints an em dash. Do not fill a cell from a distributor listing:
# that is where AMS 5542 (an X-750 sheet spec) came to be cited for Haynes 214
# round bar.
#
# EN 10095 IS NOT IN THIS FILE, AND THAT IS DELIBERATE. On 2026-08-26 it was
# removed from 48 pages - 62 citations - where it had been typed into
# hand-written Standards cells as filler. It is "Heat resisting steels and
# nickel alloys", and it was being recited on Monel, Invar, Nimonic, duplex,
# cobalt alloys and the whole corrosion-resistant Hastelloy range, none of which
# it covers. Not one verified mill bulletin behind this file cites it; the
# closest case, VDM's 602 CA sheet, lists DIN EN 10302 instead.
#
# It was removed rather than corrected because no instance had a source. Some of
# them were probably right - the genuinely heat-resisting grades (600, 601,
# 602 CA, 800 / 800H / 800HT, Alloy 330, the nichromes, Hastelloy X) are the
# ones to re-check first. Re-add per grade only from the standard's own material
# list, never from the fact that it used to be on the page.
#
# 800 / 800H / 800HT are the strongest of those candidates, and there is already
# evidence in the tree: docs/chemistry.csv records that their Mn, Si, Cu, P and
# S residuals were read off ASTM B409 / B408 and EN 10095 because the Special
# Metals bulletin states no limit for any of them, and that 800HT's phosphorus
# limit has no ASTM counterpart at all. So the standard genuinely covers that
# grade. What was deleted from the pages was the unsourced citation, not the
# standard's applicability - the two are different claims.
#
# After editing: node docs/build-specs.mjs   then commit the changed hubs.
# node docs/build-specs.mjs --check reports drift and exits non-zero.

family,grade,uns,flat,bar,wire,pipe_tube,fitting
inconel,600,N06600,ASTM B168,ASTM B166 / AMS 5665,ASTM B166,ASTM B167,ASTM B366
inconel,601,N06601,ASTM B168,ASTM B166 / AMS 5715,ASTM B166,ASTM B167,ASTM B366
# 602 CA moved to the nickel-alloy family on 2026-08-26 - the row is in that
# block below. Special Metals does not make this alloy; VDM Metals does.
inconel,617,N06617,ASTM B168 / AMS 5888 / 5889,ASTM B166 / AMS 5887,ASTM B166 / ISO 9724,ASTM B546,ASTM B366
inconel,625,N06625,ASTM B443 / AMS 5599,ASTM B446 / AMS 5666,ASTM B446,ASTM B444,ASTM B366
# N06626 IS NOT COVERED BY ASTM OR ASME. The ATI 625HP data sheet - the only
# published source for this grade, Special Metals issuing no 625LCF bulletin -
# says so in as many words: "N06626 is not covered by ASTM or ASME
# specifications, but can be certified to these as N06625 material." The whole
# row previously read B443 / B446 / B446 / B444 / B366, which is alloy 625's row
# copied across, so every 625 LCF page cited five standards none of which name
# this UNS. AMS 5879 is the specification ATI states covers it.
#
# The dashes are the stock answer, not a gap: 625 LCF is made in flat product
# only. ATI lists sheet and strip as the product forms, and the plate and
# round-bar pages were retired on 2026-08-26 for the same reason.
inconel,625 LCF,N06626,AMS 5879,-,-,-,-
# 660 (A286) moved to the incoloy family on 2026-08-26 - the row is in that
# block below. It is an iron-based precipitation-hardened superalloy, and "660"
# is a specification designation rather than an alloy name.
inconel,686,N06686,ASTM B575 / B906,ASTM B574,ASTM B574,ASTM B619 / B622 / B626,ASTM B366
inconel,690,N06690,ASTM B168 / B906,ASTM B166 / B564,ASTM B166,ASTM B163 / B167 / B829,ASTM B366
inconel,693,N06693,ASTM B168 / B906,ASTM B166,ASTM B166,ASTM B167,ASTM B366
inconel,718,N07718,ASTM B670 / B906 / AMS 5596 / 5597,ASTM B637 / AMS 5662 / 5663,ASTM B637 / AMS 5962,AMS 5589 / 5590,ASTM B366
inconel,725,N07725,-,ASTM B805,ASTM B805,-,-
inconel,751,N07751,-,mill,-,-,-
inconel,783,R30783,-,AMS 5940 / ASTM B637,-,-,-
inconel,X-750,N07750,AMS 5542 / 5598,ASTM B637 / AMS 5667-5671 / 5747,AMS 5698 / 5699,-,-
# Alloy 330 / RA330 re-checked 2026-08-31 against the Specifications line of
